日期,周次,母题,栏目,平台,形态,核心关键词,真实素材,AIGC素材,CTA,发布时间,24小时复盘,72小时复盘,状态
2026-08-03,第1周,酒标上最重要的4处,261311桶案,抖音,40秒酒标放大镜,30年,酒标正反面和桶号,箭头解释动画,评论酒标,20:30,2026-08-04,2026-08-06,待制作
2026-08-04,第1周,261311不是随机编号,261311桶案,小红书,5页桶号身份证,261311,桶号和文件局部,档案卡版式,收藏档案三问,12:30,2026-08-05,2026-08-07,待制作
2026-08-04,第1周,一桶酒为什么只有184瓶,184瓶之后,抖音,35秒数字揭秘,184瓶,酒标和总瓶数记录,数字动效,评论184,20:30,2026-08-05,2026-08-07,待制作
2026-08-05,第1周,一桶酒为什么只有184瓶,261311桶案,视频号,60秒单桶档案,184瓶,酒标桶号文件局部,木桶时间抽象画面,转发给酒友,20:00,2026-08-06,2026-08-08,待制作
2026-08-06,第1周,同样写亚伯乐为什么要看桶号,高龄酒判断课,小红书,6页单桶入门,亚伯乐30年,产品酒标与桶号,解释性对比图,评论单桶,12:30,2026-08-07,2026-08-09,待制作
2026-08-06,第1周,184瓶是档案不是口号,261311桶案,抖音,45秒证据链,184瓶,酒标桶号装瓶资料,档案翻页动画,关注桶案系列,20:30,2026-08-07,2026-08-09,待制作
2026-08-07,第1周,同样写亚伯乐为什么要看桶号,高龄酒判断课,视频号,70秒产品身份解释,亚伯乐30年,酒瓶酒标桶号,品牌与单桶结构图,私信单桶,20:00,2026-08-08,2026-08-10,待制作
2026-08-08,第1周,高年份先核对什么,高龄酒判断课,抖音,30秒四点清单,30年,酒标日期桶号,清单动效,收藏核验表,20:30,2026-08-09,2026-08-11,待制作
2026-08-09,第1周,一支单桶至少回答6个问题,261311桶案,小红书,8页档案清单,261311,酒标与文件局部,编辑部档案版式,评论想看的证据,12:30,2026-08-10,2026-08-12,待制作
2026-08-09,第1周,一支单桶至少回答6个问题,261311桶案,视频号,75秒档案说明,261311,产品和文件局部,档案检索动画,关注下周30年故事,20:00,2026-08-10,2026-08-12,待制作
